timestamp,ax,ay,az,roll,pitch,wx,wy,wz,mx,my,mz
1605537055.13972521,1.01296600,0.04026000,0.00500200,2.33621397,-87.82169540,-0.07656250,0.73120250,-0.04817750,-0.42604502,-1.61750950,0.44606840
1605537055.20234513,1.01125800,0.04282200,0.01464000,2.34710273,-87.73327920,0.23843750,0.06620250,-0.22317750,-0.41742181,-1.62554809,0.44928384
1605537055.26508164,1.01308800,0.04123600,0.01183400,2.35762343,-87.77195609,-0.42656250,1.11620250,0.05682250,-0.41742181,-1.62554809,0.44928384
1605537055.32771611,1.01016000,0.04099200,0.01891000,2.32274661,-87.71319963,-0.11156250,0.20620250,-0.15317750,-0.41639871,-1.62101725,0.44621456
1605537055.39038301,1.01211200,0.04160200,0.00561200,2.33926577,-87.84155090,-0.04156250,0.38120250,0.02182250,-0.41829874,-1.62247881,0.44957615
1605537055.45298433,1.01247800,0.04209000,0.01695800,2.41355922,-87.40791778,0.34343750,0.31120250,-0.22317750,-0.41829874,-1.62247881,0.44957615
1605537055.51566863,1.01284400,0.04209000,0.00768600,2.41349746,-87.83252435,-0.32156250,0.31120250,0.02182250,-0.41332944,-1.62364806,0.45059924
1605537055.57824135,1.01028200,0.04148000,0.01427400,2.38475511,-87.72592503,-0.32156250,1.11620250,-0.04817750,-0.41332944,-1.62364806,0.45059924
1605537055.64094067,1.00991600,0.04148000,0.00878400,2.38263437,-87.81131046,0.06343750,0.17120250,-0.04817750,-0.41157556,-1.61765566,0.45103771
1605537055.70371342,1.01247800,0.04111400,0.01451800,2.36318421,-87.74183566,-0.11156250,0.83620250,-0.08317750,-0.41712949,-1.62452499,0.44899152
1605537055.76632071,1.01101400,0.04062600,0.01390800,2.33669651,-87.77808253,-0.18156250,0.13620250,-0.08317750,-0.41712949,-1.62452499,0.44899152
1605537055.82907581,1.01247800,0.04636000,0.01037000,2.64159170,-87.53998194,-0.07656250,0.17120250,-0.18817750,-0.41464484,-1.62335574,0.44723765
1605537055.89174080,1.01150200,0.04148000,0.00963800,2.36416135,-87.81869174,0.06343750,0.66120250,-0.08317750,-0.41537562,-1.61356329,0.44942999
1605537055.95448613,1.01150200,0.04184600,0.00890600,2.53291820,-87.66280423,-0.21656250,1.18620250,0.26682250,-0.41537562,-1.61356329,0.44942999
1605537056.01713872,1.01223400,0.04062600,0.00902800,2.34805580,-87.84251470,0.09843750,0.06620250,0.09182250,-0.41859106,-1.62160187,0.44519146
1605537056.07972312,1.01308800,0.04172400,0.01061400,2.40272333,-87.76828071,-0.25156250,0.69620250,0.09182250,-0.41303712,-1.62130956,0.44153756
1605537056.14243031,1.01150200,0.04148000,0.01268800,2.22170510,-87.76905947,0.23843750,-0.70379750,-0.22317750,-0.41303712,-1.62130956,0.44153756
1605537056.20526314,1.01272200,0.04184600,0.00829600,2.59849381,-87.56393002,-0.04156250,0.80120250,-0.01317750,-0.42005262,-1.61794797,0.44153756
1605537056.26785469,1.01125800,0.04257800,0.01598200,2.33389287,-87.60724891,-0.28656250,1.18620250,0.05682250,-0.42005262,-1.61794797,0.44153756
1605537056.33045125,1.01186800,0.04209000,0.01329800,2.31911442,-87.85103105,0.16843750,-0.03879750,-0.32817750,-0.41946799,-1.62014031,0.45235311
1605537056.39316988,1.01125800,0.04099200,0.00829600,2.29273540,-87.78381174,0.37843750,0.20620250,-0.32817750,-0.41976030,-1.61721719,0.43539901
1605537056.45595098,1.01028200,0.04282200,0.01207800,2.46095366,-87.77845460,0.13343750,0.17120250,-0.15317750,-0.41976030,-1.61721719,0.43539901
1605537056.51858830,1.01162400,0.04074800,0.01000400,2.34044678,-87.88287742,-0.42656250,0.87120250,0.09182250,-0.42136802,-1.62437884,0.44489915
1605537056.58123422,1.01211200,0.04026000,0.01451800,2.31143897,-87.72154472,0.02843750,0.13620250,-0.25817750,-0.41099094,-1.62233265,0.45483777
1605537056.64391446,1.01162400,0.04355400,0.01037000,2.49900353,-87.67810366,0.09843750,-0.00379750,-0.11817750,-0.41099094,-1.62233265,0.45483777
1605537056.70671058,1.01162400,0.04172400,0.01232200,2.39322188,-87.75204440,-0.35656250,1.18620250,0.19682250,-0.41859106,-1.61502485,0.44636071
1605537056.76929832,1.01247800,0.04135800,0.01244400,2.38470910,-87.75718269,0.27343750,-0.35379750,-0.32817750,-0.42122186,-1.62233265,0.44124525
1605537056.83212876,1.01199000,0.03830800,0.01329800,2.20492735,-87.91397960,0.02843750,-0.07379750,-0.08317750,-0.42122186,-1.62233265,0.44124525
1605537056.89493823,1.01223400,0.04026000,0.01732400,2.31778144,-87.72568755,-0.28656250,1.15120250,0.09182250,-0.41289097,-1.61926337,0.43773750
1605537056.95756412,1.01247800,0.04270000,0.01171200,2.38380283,-87.77085665,0.02843750,0.10120250,-0.08317750,-0.41289097,-1.61926337,0.43773750
1605537057.02019310,1.01296600,0.04306600,0.02196000,2.50688948,-87.44239051,-0.04156250,0.52120250,-0.04817750,-0.41873721,-1.62452499,0.43729904
1605537057.08281565,1.01272200,0.04245600,0.01293200,2.18743277,-87.83300360,0.06343750,0.48620250,-0.29317750,-0.41844490,-1.62700965,0.44636071
1605537057.14543772,1.01199000,0.04221200,0.01000400,2.29066556,-87.91361898,0.06343750,0.34620250,-0.08317750,-0.41844490,-1.62700965,0.44636071
1605537057.20813107,1.01150200,0.04148000,0.01244400,2.40195800,-87.79133908,-0.07656250,0.69620250,-0.22317750,-0.41610640,-1.62233265,0.44446068
1605537057.27086067,1.01345400,0.04087000,0.01451800,2.28750844,-87.81538203,-0.21656250,0.59120250,-0.01317750,-0.41625256,-1.62408652,0.43539901
1605537057.33355951,1.01223400,0.04184600,0.00963800,2.23536281,-87.81066908,0.02843750,0.06620250,-0.08317750,-0.41625256,-1.62408652,0.43539901
1605537057.39620924,1.01150200,0.04257800,0.01305400,2.66449723,-87.37203814,-0.35656250,0.97620250,0.02182250,-0.41406022,-1.62218650,0.45001462
1605537057.45880342,1.01247800,0.03952800,0.01098000,2.15913952,-87.96897592,0.06343750,0.06620250,-0.25817750,-0.41712949,-1.62496346,0.44767612
1605537057.52148485,1.01272200,0.04306600,0.00829600,2.46877713,-87.70764588,0.13343750,0.55620250,-0.15317750,-0.41712949,-1.62496346,0.44767612
1605537057.58417249,1.01064800,0.04087000,0.01610400,2.34925492,-87.68633811,-0.18156250,0.52120250,-0.01317750,-0.42180649,-1.62496346,0.45615317
1605537057.64676666,1.01296600,0.04257800,0.01244400,2.44058419,-87.70473214,0.02843750,0.45120250,-0.08317750,-0.42180649,-1.62496346,0.45615317
1605537057.70946193,1.01272200,0.03965000,0.01085800,2.27907619,-87.88427672,0.02843750,0.17120250,-0.11817750,-0.41435253,-1.62437884,0.44446068
1605537057.77204990,1.01162400,0.04440800,0.01537200,2.55257948,-87.54674849,-0.42656250,0.97620250,0.19682250,-0.41873721,-1.62394037,0.44767612
1605537057.83487701,1.01235600,0.04294400,0.00915000,2.46191579,-87.72960968,0.02843750,0.06620250,-0.11817750,-0.41873721,-1.62394037,0.44767612
1605537057.89750886,1.01296600,0.04318800,0.00390400,2.62052835,-87.61622575,-0.18156250,0.97620250,0.05682250,-0.41888337,-1.62540193,0.44723765
